befnr,StartYear,industry_category,LegalForm,Location,FollowerBusiness,IndAffBusiness,EmployeeNum,CompanyEndYear,YearsWorkExperience,YearsSchooling,CapitalInvested,GenSpeBusiness,TradInnoBusiness,MarketScope,CompetitionIntensity,Seasonality,OrderClusters,IndustryExperience,FounderFather,beg1,beg2,beg3,beg4,beg5,beg6,beg7,beg8,beg9,beg10,beg11,beg12,beg13,beg14,beg15,beg16,beg17,beg18,beg19,beg20,end1,end2,end3,end4,end5,end6,end7,end8,end9,end10,end11,end12,end13,end14,end15,end16,end17,end18,end19,end20,typ1,typ2,typ3,typ4,typ5,typ6,typ7,typ8,typ9,typ10,typ11,typ12,typ13,typ14,typ15,typ16,typ17,WorkExperienceYears,SelfEmploymentYears,SelfEmploymentExp,EndYear_Clean,Censored,SurvivalTime
3217,1986,Other Services,Small tradesman,Upper Bavaria,Newcomer,Independent,1,Business still registered,3,18,kein Startkapital,Generalist,Innovative,National,high,high,high,1.0,1.0,73,77,79,81,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,77,79,81,82,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,le,al,se,m,m,m,m,m,m,m,m,m,m,m,m,8.0,4.0,1.0,1990,1,4.0
3226,1986,Manufacturing,Small tradesman,Upper Bavaria,Newcomer,Independent,1,Business still registered,7,12,150000,Specialist,Innovative,Local,high,high,high,0.0,1.0,60,62,77,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,62,77,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,11.0,0.0,0.0,1990,1,4.0
3227,1986,Manufacturing,Small tradesman,Upper Bavaria,Newcomer,Independent,1,Business still registered,29,13,kein Startkapital,Specialist,Innovative,Local,low,,high,0.0,1.0,59,65,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,65,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,27.0,0.0,0.0,1990,1,4.0
3243,1986,Wholesale/Retail Trade,Small tradesman,Upper Bavaria,Newcomer,Independent,2,Business still registered,34,13,13000,Specialist,Innovative,National,low,high,high,0.0,1.0,53,61,72,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,61,72,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,33.0,0.0,0.0,1990,1,4.0
3247,1986,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,0,Business still registered,7,15,kein Startkapital,Specialist,Traditional,National,high,high,high,0.0,1.0,71,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,15.0,1.0,1990,1,4.0
3248,1986,Other Services,Registered firm,Munich,Follower,Independent,2,Business still registered,11,18,500000,Generalist,Traditional,National,high,high,,1.0,1.0,73,80,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,80,82,87,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,14.0,1.0,1990,1,4.0
3249,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,2,Business still registered,9,18,5000,Generalist,Traditional,Local,low,low,,1.0,1.0,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,3.0,0.0,0.0,1990,1,5.0
3250,1985,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,25,Business still registered,6,13,kein Startkapital,Specialist,Traditional,Local,high,,,1.0,1.0,69,71,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,71,73,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,16.0,0.0,0.0,1990,1,5.0
3254,1985,Transportation,Registered firm,Munich,Newcomer,Independent,3,Business still registered,40,18,40000,Specialist,Traditional,Local,high,high,high,1.0,1.0,57,59,61,63,72,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,59,61,63,72,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,wz,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,26.0,0.0,0.0,1990,1,5.0
3255,1985,Other Services,Registered firm,Upper Bavaria,Newcomer,Independent,1,Business still registered,13,13,kein Startkapital,,,Local,low,,,1.0,1.0,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,12.0,1.0,1990,1,5.0
3257,1985,Other Services,Registered firm,Munich,Newcomer,Independent,6,Business still registered,7,12,kein Startkapital,Specialist,Innovative,Local,high,low,,0.0,1.0,57,60,63,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,60,63,79,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,se,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,9.0,16.0,1.0,1990,1,5.0
3258,1985,Other Services,Registered firm,Munich,Newcomer,Independent,2,Business still registered,17,11,1000,Specialist,Traditional,National,high,,low,1.0,1.0,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,12.0,1.0,1990,1,5.0
3262,1985,Other Services,Registered firm,Upper Bavaria,Follower,Independent,2,Business still registered,7,15,60000,Generalist,Traditional,National,high,low,low,1.0,1.0,80,81,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,81,84,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,0.0,0.0,1990,1,5.0
3263,1986,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,0,Business still registered,11,12,kein Startkapital,Specialist,Innovative,National,low,,high,1.0,1.0,44,51,52,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,51,52,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,8.0,34.0,1.0,1990,1,4.0
3270,1985,Construction,Registered firm,Upper Bavaria,Newcomer,Independent,15,Business still registered,32,11,kein Startkapital,Generalist,Traditional,Local,high,low,low,1.0,1.0,56,59,60,61,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,59,60,61,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,24.0,1.0,1990,1,5.0
3272,1986,Other Services,Registered firm,Munich,Newcomer,Independent,3,Business still registered,8,13,10000,Specialist,Innovative,National,high,high,low,1.0,1.0,76,78,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,78,80,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,4.0,6.0,1.0,1990,1,4.0
3273,1985,Transportation,Registered firm,Upper Bavaria,Follower,Independent,23,Business still registered,13,11,kein Startkapital,Specialist,Traditional,National,high,low,,1.0,1.0,56,66,68,74,75,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,66,68,74,75,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ne,ab,ne,se,m,m,m,m,m,m,m,m,m,m,m,m,16.0,10.0,1.0,1990,1,5.0
3274,1986,Other Services,Registered firm,Upper Bavaria,Newcomer,Independent,1,87,23,11,3000,Specialist,Traditional,National,high,low,,1.0,1.0,59,61,64,67,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,61,64,67,80,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,le,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,19.0,6.0,1.0,87,0,
3276,1986,Construction,Registered firm,Upper Bavaria,Newcomer,Independent,0,Business still registered,20,12,95000,Specialist,Traditional,Local,low,high,high,1.0,1.0,72,74,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,74,80,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,8.0,6.0,1.0,1990,1,4.0
3277,1985,Transportation,Registered firm,Upper Bavaria,Follower,Independent,4,86,29,11,15000,Generalist,Traditional,National,high,high,,1.0,1.0,82,83,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,83,84,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,se,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1.0,1.0,1.0,86,0,
3281,1986,Other Services,Registered firm,Upper Bavaria,Follower,Independent,85,Business still registered,20,13,100000,Specialist,Traditional,National,low,low,,0.0,1.0,81,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,83,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,2.0,0.0,0.0,1990,1,4.0
3282,1986,Other Services,Registered firm,Upper Bavaria,Newcomer,Independent,0,87,32,9,100000,Specialist,Innovative,National,high,high,,1.0,1.0,48,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,38.0,1.0,87,0,
3283,1986,Transportation,Small tradesman,Upper Bavaria,Follower,Independent,12,Business still registered,33,18,300000,Specialist,Traditional,Local,high,low,low,1.0,1.0,70,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,73,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,16.0,0.0,0.0,1990,1,4.0
3285,1985,Other Services,Small tradesman,Upper Bavaria,Follower,Independent,10,Business still registered,19,11,6000,Generalist,Traditional,Local,high,high,,1.0,1.0,72,75,77,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,75,77,79,87,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,le,wz,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,13.0,0.0,0.0,1990,1,5.0
3290,1985,Other Services,Small tradesman,Munich,Newcomer,Independent,0,Business still registered,24,17,kein Startkapital,Specialist,Traditional,Local,high,low,low,0.0,1.0,72,75,78,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,75,78,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,6.0,7.0,1.0,1990,1,5.0
3293,1985,Other Services,Small tradesman,Munich,Follower,Independent,2,87,31,18,8000,Specialist,Traditional,Local,low,high,,,1.0,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,,,,87,0,
3295,1986,Wholesale/Retail Trade,Small tradesman,Upper Bavaria,Follower,Independent,5,Business still registered,17,10,4000,Generalist,Traditional,Local,high,low,,1.0,1.0,74,77,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,77,82,85,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,ne,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,4.0,0.0,0.0,1990,1,4.0
3301,1986,Other Services,Small tradesman,Munich,Follower,Independent,2,87,4,11,kein Startkapital,Specialist,Traditional,Local,high,high,,1.0,1.0,72,74,75,77,78,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,74,75,77,78,84,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,ab,ne,ab,ab,ab,m,m,m,m,m,m,m,m,m,m,m,10.0,0.0,0.0,87,0,
3305,1986,Other Services,Small tradesman,Munich,Newcomer,Affiliated,2,Business still registered,12,11,200000,Specialist,Traditional,Local,high,high,,1.0,1.0,74,75,77,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,75,77,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,3.0,9.0,1.0,1990,1,4.0
3306,1986,Other Services,Small tradesman,Upper Bavaria,Follower,Affiliated,2,89,19,11,kein Startkapital,Generalist,Innovative,Local,high,,high,0.0,1.0,68,76,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,76,84,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,16.0,2.0,1.0,89,0,
3307,1986,Other Services,Registered firm,Munich,Follower,Independent,8,Business still registered,7,18,6000,Generalist,Traditional,Local,high,low,,0.0,1.0,57,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,28.0,1.0,1990,1,4.0
3309,1986,Other Services,Small tradesman,Upper Bavaria,Newcomer,Affiliated,4,Business still registered,3,12,kein Startkapital,Generalist,Traditional,Local,high,high,,1.0,1.0,66,68,71,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,68,71,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,15.0,1.0,1990,1,4.0
3311,1986,Other Services,Small tradesman,Upper Bavaria,Follower,Independent,6,89,30,15,kein Startkapital,Generalist,Traditional,Local,high,high,,1.0,1.0,51,54,61,70,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,54,61,70,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ne,se,m,m,m,m,m,m,m,m,m,m,m,m,m,10.0,16.0,1.0,89,0,
3321,1986,Other Services,Small tradesman,Munich,Newcomer,Independent,0,89,10,18,kein Startkapital,Generalist,Traditional,Local,low,,low,0.0,1.0,78,79,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,79,80,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,7.0,0.0,0.0,89,0,
3327,1985,Manufacturing,Small tradesman,Upper Bavaria,Newcomer,Independent,1,Business still registered,14,15,kein Startkapital,Specialist,Innovative,National,low,,,1.0,1.0,77,80,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,80,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,wz,m,m,m,m,m,m,m,m,m,m,m,m,m,m,6.0,0.0,0.0,1990,1,5.0
3329,1985,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,42,Business still registered,3,11,250000,Generalist,Traditional,National,high,,,1.0,1.0,80,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,0.0,0.0,1990,1,5.0
3334,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,13,Business still registered,3,11,kein Startkapital,Generalist,Innovative,National,high,low,low,1.0,1.0,68,71,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,71,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,17.0,0.0,0.0,1990,1,5.0
3336,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,32,Business still registered,17,12,kein Startkapital,Generalist,Traditional,Local,high,,low,1.0,1.0,75,78,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,78,79,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,wz,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,9.0,0.0,0.0,1990,1,5.0
3337,1985,Manufacturing,Registered firm,Upper Bavaria,Newcomer,Independent,2,Business still registered,6,14,24000,Specialist,Innovative,National,high,low,,1.0,1.0,56,59,61,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,59,61,73,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,17.0,12.0,1.0,1990,1,5.0
3345,1985,Manufacturing,Registered firm,Upper Bavaria,Newcomer,Independent,6,Business still registered,23,14,10000,Specialist,Innovative,National,high,low,,1.0,1.0,68,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,17.0,0.0,0.0,1990,1,5.0
3350,1985,Manufacturing,Registered firm,Upper Bavaria,Newcomer,Independent,1,Business still registered,3,11,kein Startkapital,Specialist,Traditional,National,low,,low,1.0,1.0,73,75,79,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,75,79,80,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,6.0,6.0,1.0,1990,1,5.0
3352,1985,Manufacturing,Registered firm,Upper Bavaria,Follower,,7,Business still registered,2,15,kein Startkapital,Specialist,,,high,,low,1.0,1.0,72,76,81,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,76,81,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,9.0,0.0,0.0,1990,1,5.0
3353,1986,Other Services,Registered firm,Munich,Follower,Independent,18,Business still registered,18,12,5000,Specialist,Traditional,National,high,low,low,1.0,1.0,77,80,81,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,80,81,85,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,wz,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,8.0,0.0,0.0,1990,1,4.0
3354,1985,Construction,Registered firm,Upper Bavaria,Follower,Independent,6,Business still registered,15,11,kein Startkapital,Specialist,Traditional,Local,low,low,low,0.0,1.0,82,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,84,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,wz,le,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,2.0,0.0,0.0,1990,1,5.0
3355,1986,Construction,Registered firm,Upper Bavaria,Newcomer,Independent,25,Business still registered,31,11,kein Startkapital,Generalist,Traditional,Local,high,high,high,1.0,1.0,59,62,65,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,62,65,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,6.0,21.0,1.0,1990,1,4.0
3356,1986,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,7,Business still registered,2,11,kein Startkapital,Generalist,Traditional,Local,high,high,,1.0,1.0,76,78,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,78,82,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,10.0,0.0,0.0,1990,1,4.0
3358,1986,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,25,Business still registered,3,11,kein Startkapital,Specialist,Traditional,Local,high,high,,1.0,1.0,57,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,28.0,1.0,1990,1,4.0
